Voltage (V),Current Density (A/cm^2)
-5,-0.01684872796589862
-4.99,-0.016675414599069266
-4.98,-0.01651646337430453
-4.97,-0.016359294684902423
-4.96,-0.0162084412636422
-4.95,-0.016054633926638192
-4.94,-0.01590306749123292
-4.93,-0.015754149394080694
-4.92,-0.015604722001110577
-4.91,-0.01545921618593824
-4.9,-0.015312080624148645
-4.89,-0.015168255485175362
-4.88,-0.015021985726276187
-4.87,-0.014875817826540589
-4.86,-0.014737798659891298
-4.8500000000000005,-0.0145959597746078
-4.84,-0.014455699706359775
-4.83,-0.014315134060621014
-4.82,-0.014175688865681617
-4.8100000000000005,-0.014041183840175796
-4.8,-0.013905609293452395
-4.79,-0.013770085676310783
-4.78,-0.013636955749513275
-4.7700000000000005,-0.013502654442334611
-4.76,-0.01337400631873457
-4.75,-0.01324102918068243
-4.74,-0.013111820831682705
-4.73,-0.012982001327701508
-4.72,-0.012854982950718729
-4.71,-0.012729696179516787
-4.7,-0.012602983380024744
-4.69,-0.012477594749659227
-4.68,-0.012351747753057604
-4.67,-0.01223022977090808
-4.66,-0.012106878323814137
-4.65,-0.011984596397937771
-4.64,-0.011863027486206459
-4.63,-0.01174436156063714
-4.62,-0.011624829832177403
-4.61,-0.011510136413987659
-4.6000000000000005,-0.011393660460435287
-4.59,-0.011276318703992495
-4.58,-0.0111618799337117
-4.57,-0.011046473501376903
-4.5600000000000005,-0.010935650731403155
-4.55,-0.010823096355648565
-4.54,-0.010710491050312188
-4.53,-0.010599973857829176
-4.5200000000000005,-0.010490016890745846
-4.51,-0.010379703416589992
-4.5,-0.010274686618940237
-4.49,-0.010167530778855325
-4.48,-0.01006078237542473
-4.47,-0.009954696056557397
-4.46,-0.009850799709707007
-4.45,-0.009746597785365881
-4.44,-0.009645706283841066
-4.43,-0.009542981317371834
-4.42,-0.009441376801701968
-4.41,-0.009340332511431786
-4.4,-0.009240561460706337
-4.39,-0.009144253621542569
-4.38,-0.009045552092034701
-4.37,-0.008947971013326199
-4.36,-0.008851968751653167
-4.3500000000000005,-0.008755609982907609
-4.34,-0.008660677242452156
-4.33,-0.008567527037359331
-4.32,-0.00847498798724798
-4.3100000000000005,-0.008381735922991575
-4.3,-0.008290011746188855
-4.29,-0.008199153372276552
-4.28,-0.008110383111217617
-4.2700000000000005,-0.00802186749806763
-4.26,-0.007933250025754061
-4.25,-0.007845447426749126
-4.24,-0.0077583069123074505
-4.23,-0.0076710645387021974
-4.22,-0.0075875400245675705
-4.21,-0.007503302496287893
-4.2,-0.007419217756753582
-4.19,-0.00733528580596464
-4.18,-0.007252779883465802
-4.17,-0.007170986975112015
-4.16,-0.007091944264174856
-4.15,-0.0070108643699661214
-4.14,-0.006931363292792858
-4.13,-0.0068521168635285404
-4.12,-0.006773430659663908
-4.11,-0.006698054878615587
-4.1,-0.0066206928438774775
-4.09,-0.006544604048684104
-4.08,-0.006469024549308626
-4.07,-0.006394667359896092
-4.0600000000000005,-0.006320768536719663
-4.05,-0.006248448530578705
-4.04,-0.0061757720173652225
-4.03,-0.006103757588715002
-4.0200000000000005,-0.006032965470027727
-4.01,-0.005962071492176872
-4,-0.005893367486342963
-3.99,-0.005823950466364003
-3.98,-0.005755552038020829
-3.97,-0.005687153609677657
-3.96,-0.005619926561715639
-3.95,-0.0055533106687350965
-3.94,-0.00548863009986255
-3.93,-0.005422778150608848
-3.92,-0.005358505018390617
-3.91,-0.0052939772382634386
-3.9,-0.0052303152610266804
-3.89,-0.005167009790862448
-3.88,-0.005106047081460527
-3.87,-0.005043923177593811
-3.86,-0.004982471544206712
-3.85,-0.004921972293999077
-3.84,-0.004861534159289587
-3.83,-0.004803179044475286
-3.8200000000000003,-0.004744090543683217
-3.81,-0.004686361862724924
-3.8000000000000003,-0.004628653553599347
